tipo_imovel,rotulo,endereco,Link,Valor (R$),Data,Matrícula,leiloeiro,Descrição do imóvel,Formas de Pagamento,Direito de Preferência,Observações,Direitos do Compromissário,Link do Processo Judicial,Visitação,Foto_1,Foto_2,Foto_3,Foto_4,Foto_5,Foto_6,Foto_7,Foto_8,Foto_9,Foto_10,Foto_11,Foto_12,Total_Fotos,Andar,Edital de venda,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Vagas,ocupado
Casa,2º leilão,"Foz do Iguaçu / PR - Campos do Iguaçu Rua Capibaribe,  122",https://www.portalzuk.com.br/imovel/pr/foz-do-iguacu/campos-do-iguacu/rua-capibaribe-122/33300-206352,661733.9232,08/08/2025 às 14:40,"45.338 do 2º CRI -  Foz do Iguaçu/PR
                                      -  Nº Contribuinte: 10.1.32.20.0057.001.",Banco Santander,"Casa 01, localizado no Condomínio Residencial Capibaribe II, situada na Rua Capibaribe, nº 122, Campos do Iguaçu, Foz do Iguaçu/PR. Área privativa: 185,63m² e Área total: 185,63m², melhor descrito na matrícula n° 45.338 do 2° Ofício de Registro de Imóveis de Foz do Iguaçu/PR.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/45e744058827bc545c66f85ad34adc2e.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/45e744058827bc545c66f85ad34adc2e.jpg,,,,,,,,,,,2,,,"185,63m²","185,63m²",,,,,Este imóvel encontra-se ocupado no momento.
Casa,1º leilão,"São Paulo / SP - Vila Pereira Barreto Avenida Cristo Rei,  251",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-pereira-barreto/avenida-cristo-rei-251/33300-206353,468406.30,06/08/2025 às 14:41,"125.990 do 16º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 077.030.0057-4.",Banco Santander,"Casa 05, do Residencial Ville DCrist, situada na Avenida Cristo Rei, nº 251, Vila Pereira Barreto, São Paulo/SP, com direito as vagas de garagem 07-M e 08-M. Área privativa: 75,25m² e Área total: 144,00m², melhor descrito na matrícula n° 125.990 do 16° Oficial de Registro de Imóveis de São Paulo/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/91958fef4a41bff66fc4eec32b3d7634.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/91958fef4a41bff66fc4eec32b3d7634.jpg,,,,,,,,,,,2,,,"144,00m²","75,25m²",,,,2,Este imóvel encontra-se ocupado no momento.
Casa,2º leilão,"São Paulo / SP - Vila Pereira Barreto Avenida Cristo Rei,  251",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-pereira-barreto/avenida-cristo-rei-251/33300-206353,390929.9017,08/08/2025 às 14:41,"125.990 do 16º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 077.030.0057-4.",Banco Santander,"Casa 05, do Residencial Ville DCrist, situada na Avenida Cristo Rei, nº 251, Vila Pereira Barreto, São Paulo/SP, com direito as vagas de garagem 07-M e 08-M. Área privativa: 75,25m² e Área total: 144,00m², melhor descrito na matrícula n° 125.990 do 16° Oficial de Registro de Imóveis de São Paulo/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/91958fef4a41bff66fc4eec32b3d7634.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/91958fef4a41bff66fc4eec32b3d7634.jpg,,,,,,,,,,,2,,,"144,00m²","75,25m²",,,,2,Este imóvel encontra-se ocupado no momento.
Casa,1º leilão,"Hortolândia / SP - Jardim São Sebastião Rua Camélias,  234",https://www.portalzuk.com.br/imovel/sp/hortolandia/jardim-sao-sebastiao/rua-camelias-234/33300-206354,350000.00,06/08/2025 às 14:42,"63.198 do 1º CRI -  Sumaré/SP
                                      -  Nº Contribuinte: 01.09.014.0069.001.",Banco Santander,"Casa, situada na Rua Camélias, nº 234, Lote 5 da Quadra II, Jardim São Sebastião, Hortolândia/SP. Área construída: 166,21m² e Área de terreno: 298,00m², melhor descrito na matrícula n° 63.198 do 1° Cartório de Registro de Imóveis de Sumaré/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/458d6c60ad32dd1c7ed367fed54e6bc2.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/458d6c60ad32dd1c7ed367fed54e6bc2.jpg,,,,,,,,,,,2,,,"166,21m²",,"298,00m²",,,,Este imóvel encontra-se ocupado no momento.
Casa,2º leilão,"Hortolândia / SP - Jardim São Sebastião Rua Camélias,  234",https://www.portalzuk.com.br/imovel/sp/hortolandia/jardim-sao-sebastiao/rua-camelias-234/33300-206354,296929.3615,08/08/2025 às 14:42,"63.198 do 1º CRI -  Sumaré/SP
                                      -  Nº Contribuinte: 01.09.014.0069.001.",Banco Santander,"Casa, situada na Rua Camélias, nº 234, Lote 5 da Quadra II, Jardim São Sebastião, Hortolândia/SP. Área construída: 166,21m² e Área de terreno: 298,00m², melhor descrito na matrícula n° 63.198 do 1° Cartório de Registro de Imóveis de Sumaré/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/458d6c60ad32dd1c7ed367fed54e6bc2.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/458d6c60ad32dd1c7ed367fed54e6bc2.jpg,,,,,,,,,,,2,,,"166,21m²",,"298,00m²",,,,Este imóvel encontra-se ocupado no momento.
Apartamento,1º leilão,"São Bernardo do Campo / SP - Centro Rua Silva Jardim,  290",https://www.portalzuk.com.br/imovel/sp/sao-bernardo-do-campo/centro/rua-silva-jardim-290/33300-206355,1446634.74,06/08/2025 às 14:43,"65.643 do 1º CRI -  São Bernardo do Campo/SP
                                      -  Nº Contribuinte: 001.037.003.021.",Banco Santander,"Apartamento nº 111, localizado no 11º andar, do Edifício Montgermont, situado a Rua Silva Jardim, nº 290, Centro, São Bernardo do Campo/SP, com direito a 3 vagas de garagem. Área privativa: 225,53m² e Área total: 373,64m², melhor descrito na matrícula n° 65.643 do 1° Cartório de Registro de Imóveis de São Bernardo do Campo/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/927d9f3f35956832acc2febe4c28378b.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/927d9f3f35956832acc2febe4c28378b.jpg,,,,,,,,,,,2,11,,,,,"373,64m²","225,53m²",3,Este imóvel encontra-se ocupado no momento.
Apartamento,2º leilão,"São Bernardo do Campo / SP - Centro Rua Silva Jardim,  290",https://www.portalzuk.com.br/imovel/sp/sao-bernardo-do-campo/centro/rua-silva-jardim-290/33300-206355,1101350.8524,08/08/2025 às 14:43,"65.643 do 1º CRI -  São Bernardo do Campo/SP
                                      -  Nº Contribuinte: 001.037.003.021.",Banco Santander,"Apartamento nº 111, localizado no 11º andar, do Edifício Montgermont, situado a Rua Silva Jardim, nº 290, Centro, São Bernardo do Campo/SP, com direito a 3 vagas de garagem. Área privativa: 225,53m² e Área total: 373,64m², melhor descrito na matrícula n° 65.643 do 1° Cartório de Registro de Imóveis de São Bernardo do Campo/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/927d9f3f35956832acc2febe4c28378b.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/927d9f3f35956832acc2febe4c28378b.jpg,,,,,,,,,,,2,11,,,,,"373,64m²","225,53m²",3,Este imóvel encontra-se ocupado no momento.
Casa,1º leilão,"Taubaté / SP - Quiririm Rua Didimo Gadioli,  263",https://www.portalzuk.com.br/imovel/sp/taubate/quiririm/rua-didimo-gadioli-263/33300-206356,309357.39,06/08/2025 às 14:44,"25.901 do 1º CRI -  Taubaté/SP
                                      -  Nº Contribuinte: 4.6.148.008.001.",Banco Santander,"Casa, situada na Rua Didimo Gadioli, nº 263, Lote 8 da Quadra I, Quiririm, Taubaté/SP. Área construída: 82,42m² e Área de terreno: 137,50m², melhor descrito na matrícula n° 25.901 do 1° Oficial de Registro de Imóveis de Taubaté/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.Consta Ação ANULATÓRIA , processo nº 1010939-19.2025.8.26.0625 em trâmite na 5ª Vara Cível Foro de Taubaté de Taubaté - SP, o Vendedor responde pelo resultado da ação, de acordo com os critérios e limites estabelecidos nas ""Condições de Venda dos Imóveis"" constantes do edital.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/204b449ea97a138e1169dcd9742df6d3.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/204b449ea97a138e1169dcd9742df6d3.jpg,,,,,,,,,,,2,,,"82,42m²",,"137,50m²",,,,Este imóvel encontra-se ocupado no momento.
Casa,2º leilão,"Taubaté / SP - Quiririm Rua Didimo Gadioli,  263",https://www.portalzuk.com.br/imovel/sp/taubate/quiririm/rua-didimo-gadioli-263/33300-206356,229065.0026,08/08/2025 às 14:44,"25.901 do 1º CRI -  Taubaté/SP
                                      -  Nº Contribuinte: 4.6.148.008.001.",Banco Santander,"Casa, situada na Rua Didimo Gadioli, nº 263, Lote 8 da Quadra I, Quiririm, Taubaté/SP. Área construída: 82,42m² e Área de terreno: 137,50m², melhor descrito na matrícula n° 25.901 do 1° Oficial de Registro de Imóveis de Taubaté/SP.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97.Consta Ação ANULATÓRIA , processo nº 1010939-19.2025.8.26.0625 em trâmite na 5ª Vara Cível Foro de Taubaté de Taubaté - SP, o Vendedor responde pelo resultado da ação, de acordo com os critérios e limites estabelecidos nas ""Condições de Venda dos Imóveis"" constantes do edital.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/204b449ea97a138e1169dcd9742df6d3.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/204b449ea97a138e1169dcd9742df6d3.jpg,,,,,,,,,,,2,,,"82,42m²",,"137,50m²",,,,Este imóvel encontra-se ocupado no momento.
Casa,1º leilão,"Anápolis / GO - Anápolis City Rua S-066,  s/nº",https://www.portalzuk.com.br/imovel/go/anapolis/anapolis-city/rua-s_066-s-nº/33300-206357,1375000.00,06/08/2025 às 14:45,"31.069 do 2º CRI -  Anápolis/GO
                                      -  Nº Contribuinte: 101.283.0132.001.",Banco Santander,"Casa, situada na Rua S-066, s/nº, Lote 08 da Quadra 73, Anápolis City, Anápolis/GO. Área construída: 193,00m² e Área de terreno: 420,00m², melhor descrito na matrícula n° 31.069 do Cartório de Registro de Imóveis da 2ª Circunscrição de Anápolis/GO.",À Vista e sem desconto.,,"Imóvel ocupado. Venda em caráter ad corpus e no estado de conservação em que se encontra. Desocupação por conta do adquirente, nos termos do art. 30 e parágrafo único, da lei 9.514/97. Consta Ação Indenizatória, conforme processo nº 5008241-57.2025.8.09.0006.Consta IMPUGNAÇÃO AO LEILÃO EXTRAJUDICIAL C/C COM REFORÇO DE PENHORA, processo nº 5625622-29.2025.8.09.0006 em trâmite na UPJ Varas Cíveis: 1ª, 2ª, 3ª, 4ª, 5ª e 6ª de Anápolis - GO, o Vendedor responde pelo resultado da ação, de acordo com os critérios e limites estabelecidos nas ""Condições de Venda dos Imóveis"" constantes do edital.",,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-santander,Não há visitação,https://imagens.portalzuk.com.br/detalhe/2025/07/aacd7cbe09bb07972cad3ec1135515f8.jpg,https://imagens.portalzuk.com.br/detalhe/2025/07/aacd7cbe09bb07972cad3ec1135515f8.jpg,,,,,,,,,,,2,,,"193,00m²",,"420,00m²",,,,Este imóvel encontra-se ocupado no momento.
